Probabilities of moderate and severe drought during 1901-2000,,,
,,,
,,,
Sr.No.,District,Probability % of drought,
,,Moderate,Severe
,"1(a) Haryana, Chandigarh & Delhi",,
1,Ambala,17,02
2,Delhi,17,13
3,Gurgaon,18,05
4,Hissar,18,14
5,Jind,24,12
6,Karnal,21,06
7,Mahendragarh,20,08
8,Rohtak,18,09
,1(b) East Rajasthan,,
1,Ajmer,17,08
2,Alwar,20,08
3,Banswara,21,06
4,Bharatpur,12,08
5,Bhilwara,20,05
6,Bundi,21,08
7,Chittorgarh,21,04
8,Dungarpur,25,05
9,Jaipur,17,08
10,Jhalawar,27,01
11,Jhunjhunu,14,08
12,Kota,21,04
13,Sawai Madhopur,23,05
14,Sikar,21,08
15,Tonk,17,08
16,Udaipur,20,05
17,Sirohi,28,13
,1(c) West Rajasthan,,
1,Barmer,24,14
2,Bikaner,21,11
3,Churu,17,07
4,Ganganagar,24,08
5,Jaisalmer,17,17
6,Jalore,23,14
7,Jodhpur,22,15
8,Nagour,22,10
9,Pali,25,12
,1(d) Gujarat Region,,
1,Ahmedabad,18,10
2,Amreli,25,09
3,Banaskantha,22,15
4,Baroda,18,09
5,Broach,14,10
6,Dangs,18,02
7,Kaira,17,11
8,Mehsana,24,08
9,Panch-Mahals,24,07
10,Sabarkantha,19,12
11,Surat,19,05
12,Valsad,14,03
,1(e) Saurashtra & Kutch,,
1,Bhaunagar,21,12
2,Jamnagar,21,23
3,Junagarh,19,18
4,Kutch,16,30
5,Rajkot,25,10
6,Surendranagar,20,13
,1(f) Punjab,,
1,Amritsar,25,05
2,Bhatinda,25,13
3,Ferozepore,16,13
4,Gurdaspur,14,13
5,Hoshiarpur,30,01
6,Jullundar,18,06
7,Ludhiana,23,04
8,Patiala,25,04
9,Rupar,12,04
10,Sangrur,26,17
,2(a) East Madhya Pradesh,,
1,Balaghat,14,00
2,Bastar,14,00
3,Bilaspur,06,00
4,Durg,11,00
5,Jabalpur,14,00
6,Mandla,11,01
7,Panna,16,04
8,Raigarh,06,00
9,Rewa,17,02
10,Satna,15,01
11,Shahdol,15,00
12,Sidhi,22,03
13,Surguja,09,01
,2(b) West Madhya Pradesh,,
1,Bhind,16,08
2,Bhilsa/Vidisha,19,00
3,Chhatrapur,16,05
4,Chindwara,18,00
5,Damoh,15,01
6,Dhar,23,02
7,Datia,24,03
8,Dewas,25,02
9,Guna,17,01
10,Gwalior,13,06
11,Hoshangabad,22,00
12,Indore,19,02
13,Jhabua,20,03
14,Mandsaur,15,03
15,Morena,18,05
16,Narsinghpur,14,00
17,Nimar/Khargone,15,00
18,Raesen,12,01
19,Ratlam,24,03
20,Sagar,12,00
21,Sehpore,22,02
22,Shajapur,20,02
23,Seoni,21,01
24,Shivpuri,17,02
25,Tikamgarh,19,03
26,Ujjain,23,03
,2(c) Konkan & Goa,,
1,Mumbai,12,04
2,Kolaba,08,01
3,Ratnagiri,09,00
4,Sindhudurg,10,00
5,Thane,15,00
6,Goa,16,00
,2(d) Madhya Maharashtra,,
1,Ahmednagar,19,03
2,Dhulia,15,02
3,Jalgaon,17,01
4,Kolhapur,05,01
5,Nashik,11,01
6,Pune,19,03
7,Sangamner,16,01
8,Satara,06,01
9,Solapur,15,06
,2(e) Marathwada,,
1,Aurangabad,15,04
2,Beed,22,06
3,Jalna,14,02
4,Latur,08,02
5,Nanded,14,02
6,Osmanabad,26,04
7,Parbhani,17,02
,2(f) Vidarbha,,
1,Akola,12,02
2,Amravati,11,01
3,Bhandara,13,00
4,Buldana,17,02
5,Chandrapur,14,00
6,Gadchiroli,16,00
7,Nagpur,13,00
8,Wardha,20,00
9,Yeotmal,17,01
,2(g) Telangana,,
1,Adilabad,10,03
2,Hyderabad,20,00
3,Karimnagar,12,02
4,Khammam,14,00
5,Mahbubnagar,24,03
6,Medak,19,03
7,Nalgonda,21,01
8,Nizamabad,21,01
9,Warangal,18,03
,2(h) North Interior Karnataka,,
1,Bidar,28,02
2,Bijapur,21,01
3,Belgaum,09,01
4,Gulbarga,22,06
5,Raichur,17,04
,3(a) Coastal Andhra Pradesh,,
1,East Godavari,15,00
2,Guntur,13,00
3,Krishna,18,00
4,Nellore,22,01
5,Prakasam,13,03
6,Srikakulam,06,01
7,Visakhapatnam,14,00
8,West Godavari,15,01
,3(b) Rayalaseema,,
1,Anantpur,20,04
2,Chittor,15,00
3,Cuddapah,24,01
4,Kurnool,09,04
,3(c) Tamilnadu & Puducherry,,
1,Arcot North,23,01
2,Arcot South,19,01
3,Chennai,20,04
4,Chingleput,20,01
5,Coimbatore,15,18
6,Dharmapuri,19,01
7,Kanyakumari,27,06
8,Madurai,17,04
9,Nilgiris,08,03
10,Ramanathapur,18,09
11,Sambuvarayar,16,01
12,Tiruchirapalli,16,03
13,Tanjavur,22,05
14,Tirunelveli,25,07
,3(d) Coastal Karnataka,,
1,Kanara North,03,01
2,Kanara South,04,00
,3(e) South Interior Karnataka,,
1,Bangalore,17,02
2,Bellary,15,03
3,Chickmanglur,07,03
4,Chitradurga,21,01
5,Hassan,18,01
6,Kolar,18,03
7,Coorg/Kudagu,07,00
8,Mandya,27,03
9,Mysore,20,03
10,Shimoga,34,02
11,Tumkur,19,02
,3(f) Kerala,,
1,Alleppey,09,00
2,Cannanore,08,00
3,Ernakulam,09,00
4,Idukki,13,01
5,Kasargode,05,00
6,Kottayam,11,00
7,Kozhikode,11,01
8,Malapuram,06,01
9,Palghat,12,01
10,Pathanamthitta,11,00
11,Quillon,13,00
12,Trichur,12,00
13,Tiruanantpuram,25,03
14,Wynad,19,03
,4(a) Orissa,,
1,Balasore,08,00
2,Bolangir,19,00
3,Cuttack,10,00
4,Dhenkanal,09,00
5,Ganjam,09,00
6,Kalahandi,10,03
7,Keonjhar,21,00
8,Koraput,07,00
9,Mayurbhanj,06,00
10,Puri,08,00
11,Sambalpur,16,01
12,Sundergarh,16,00
,4(b) Jharkhand,,
1,Dhanbad,10,00
2,Hazaribagh,06,00
3,Palamau,13,00
4,Ranchi,07,00
5,Singhbhum,08,00
6,Santhal Parganas,07,0
,4(c) Bihar,,
1,Bhagalpur,12,00
2,Champaran,15,01
3,Darbhanga,17,02
4,Gaya,13,00
5,Monghyr,15,00
6,Muzaffarpur,16,00
7,Patna,17,00
8,Purnea,12,01
9,Shahabad,06,01
10,Saharsa,12,00
11,Saran,19,00
,4(d) East Uttar Pradesh,,
1,Allahabad,10,02
2,Azamgarh,14,01
3,Bahraich,13,04
4,Ballia,17,02
5,Basti,13,02
6,Faizabad,20,04
7,Fatehpur,14,03
8,Gazipur,15,02
9,Gonda,12,01
10,Gorakhpur,14,00
11,Hardoi,26,04
12,Jaunpur,13,00
13,Kanpur,16,05
14,Kheri Lakhimpur,15,03
15,Lucknow,20,04
16,Mirzapur,11,03
17,Pratapgarh,21,01
18,Raebareli,37,01
19,Sultanpur,15,02
20,Varanasi,22,01
21,Unnao,16,00
,4(e) West Uttar Pradesh,,
1,Agra,15,07
2,Aligarh,15,05
3,Banda,17,01
4,Badaun,16,07
5,Bareilly,29,01
6,Bijnor,18,01
7,Bulandshahr,19,07
8,Etawah,17,05
9,Hamirpur,15,04
10,Jalaun,21,05
11,Jhansi,12,04
12,Mainpuri,13,04
13,Mathura,12,07
14,Meerut,13,06
15,Moradabad,13,03
16,Muzaffarnagar,07,08
17,Pilibhit,18,10
18,Saharanpur,18,06
,5(a) Assam & Meghalaya,,
1,Cachar,04,00
2,Darrang,06,01
3,Goalpara,05,03
4,Garohills,14,00
5,Kamrup,06,01
6,Lakhimpur,03,00
7,Nowgong,14,00
8,Sibsagar,01,00
,"5(b) Nagaland, Manipur, Mizoram & Tripura",,
1,Nagaland,09,00
2,Mizoram,14,02
3,Tripura,07,01
,5(c) Sub-Himalayan West Bengal & Sikkim,,
1,Cooch Behar,16,01
2,Darjeeling,06,00
3,Jalpaiguri,10,00
4,Malda,15,03
5,West Dinajpur,15,00
,5(d) Gangetic West Bengal,,
1,Bankura,13,00
2,Birbhum,09,00
3,Burdwan,08,00
4,Hooghly,16,00
5,Howrah,26,00
6,Murshidabad,13,00
7,Nadia,11,03
8,Parganas 24,13,00
9,Purulia,09,00
,6(a) Jammu & Kashmir,,
1,Anantnag,29,09
2,Baramulla,20,07
3,Doda,15,04
4,Jammu,16,02
5,Kathua,16,04
6,Ladakh,23,21
7,Mirpur,15,02
8,Muzaffarbad,13,00
9,Poonch,10,01
,6(b) Himachal Pradesh,,
1,Bilaspur,18,02
2,Chamba,31,07
3,Kangra,13,03
4,Kinnaur,23,12
5,Kullu,11,09
6,Lahaul & Spiti,12,25
7,Mahasu,11,00
8,Mandi,22,04
9,Shimla,09,02
10,Sirmaur,29,07
,6(c) Sub-division: Uttarakhand,,
1,Almora,14,00
2,Chamoli,12,03
3,Dehradun,18,01
4,Garhwal,12,01
5,Nainital,15,04
6,Pithorgarh,15,05
7,Sharjahanpur,25,00
8,Tehri-Garhwal,27,05
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Probabilities of moderate and severe drought during 1901-2000,,,
Northeast India,,,
,,,
Probability (%) of drought,,,
,,,
Sr.No.,District,Moderate,Severe
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
